PCI,latitude,longitude,device,rsrp
C,36.00407567,-78.93946436,Samsung,-124
C,36.00408297,-78.93942559,Samsung,-121
C,36.00406171,-78.93948815,Samsung,-125
C,36.00393646,-78.93965498,Samsung,-127
C,36.00403156,-78.93954333,Samsung,-127
C,36.00403989,-78.93952401,Samsung,-125
C,36.00407918,-78.93944544,Samsung,-126
C,36.00407513,-78.93937447,Samsung,-122
C,36.00401438,-78.93956529,Samsung,-128
C,36.0040497,-78.93950548,Samsung,-125
C,36.00385149,-78.939798,Samsung,-129
C,36.00393005,-78.93903213,Samsung,-125
C,36.00406556,-78.93932286,Samsung,-126
C,36.00399116,-78.93903884,Samsung,-123
C,36.00405372,-78.93911056,Samsung,-122
C,36.00404929,-78.93908388,Samsung,-123
C,36.00401965,-78.93904895,Samsung,-123
C,36.00406005,-78.93929726,Samsung,-124
C,36.00404519,-78.93920354,Samsung,-123
C,36.00405264,-78.93914323,Samsung,-121
C,36.00397039,-78.93903891,Samsung,-123
C,36.00404769,-78.93917386,Samsung,-123
C,36.00407129,-78.93934926,Samsung,-126
C,36.00404858,-78.93922865,Samsung,-121
C,36.00405445,-78.93927207,Samsung,-125
C,36.00403342,-78.93906372,Samsung,-123
C,36.00407878,-78.93940106,Samsung,-124
C,36.00395037,-78.93903528,Samsung,-122
C,36.00390698,-78.93903217,Samsung,-122
C,36.00386915,-78.93901475,Samsung,-122
C,36.00386256,-78.9390442,Samsung,-122
C,36.00363876,-78.93906338,Samsung,-126
C,36.00370564,-78.939093,Samsung,-128
C,36.00383949,-78.93904965,Samsung,-123
C,36.00388438,-78.93903976,Samsung,-123
C,36.00383994,-78.93903972,Samsung,-122
C,36.0037793,-78.93910185,Samsung,-123
C,36.00381734,-78.9390526,Samsung,-126
C,36.00385608,-78.93902372,Samsung,-122
C,36.00375721,-78.93912272,Samsung,-123
C,36.00390101,-78.93898683,Samsung,-122
C,36.00375526,-78.93907102,Samsung,-125
C,36.0036555,-78.93908492,Samsung,-125
C,36.00380384,-78.93908276,Samsung,-124
C,36.00369933,-78.93907775,Samsung,-126
C,36.00382644,-78.93905713,Samsung,-125
C,36.00373143,-78.93908315,Samsung,-127
C,36.00379366,-78.93909766,Samsung,-123
C,36.00367556,-78.93908787,Samsung,-125
C,36.0039306,-78.93897241,Samsung,-122
C,36.0037932,-78.93905971,Samsung,-125
C,36.00402372,-78.93872439,Samsung,-123
C,36.00402046,-78.93882483,Samsung,-122
C,36.00401665,-78.93890338,Samsung,-121
C,36.00402569,-78.93879998,Samsung,-121
C,36.00401624,-78.93868597,Samsung,-124
C,36.00399155,-78.93895803,Samsung,-121
C,36.0040026,-78.93894147,Samsung,-122
C,36.00391451,-78.9389781,Samsung,-122
C,36.00402733,-78.93877684,Samsung,-122
C,36.00401063,-78.93892578,Samsung,-121
C,36.00401011,-78.93866424,Samsung,-125
C,36.0040182,-78.93887813,Samsung,-122
C,36.00400656,-78.93855841,Samsung,-123
C,36.00399443,-78.93853372,Samsung,-122
C,36.00401854,-78.93885149,Samsung,-123
C,36.00400006,-78.93861763,Samsung,-122
C,36.00402538,-78.93875203,Samsung,-124
C,36.00395026,-78.93897645,Samsung,-121
C,36.00397637,-78.93897698,Samsung,-119
C,36.00388664,-78.93899926,Samsung,-122
C,36.00400589,-78.9386389,Samsung,-123
C,36.00399697,-78.93859039,Samsung,-121
C,36.00389137,-78.93833337,Samsung,-119
C,36.00381996,-78.93814427,Samsung,-126
C,36.00383414,-78.93818206,Samsung,-123
C,36.00395178,-78.93843369,Samsung,-123
C,36.00382953,-78.93816219,Samsung,-126
C,36.00392187,-78.93837449,Samsung,-122
C,36.00390537,-78.93835692,Samsung,-123
C,36.00369101,-78.93785694,Samsung,-122
C,36.00368501,-78.93783076,Samsung,-123
C,36.00397164,-78.93848446,Samsung,-124
C,36.00398217,-78.93851085,Samsung,-121
C,36.00384754,-78.93822258,Samsung,-123
C,36.00369658,-78.93788103,Samsung,-121
C,36.0037077,-78.9379341,Samsung,-124
C,36.00387484,-78.93829718,Samsung,-122
C,36.00376491,-78.93804219,Samsung,-124
C,36.00386068,-78.93827239,Samsung,-123
C,36.00393311,-78.93839821,Samsung,-122
C,36.00395977,-78.93845893,Samsung,-122
C,36.00370332,-78.93790692,Samsung,-122
C,36.003842,-78.93820047,Samsung,-124
C,36.00385243,-78.93824585,Samsung,-123
C,36.0036183,-78.9376997,Samsung,-125
C,36.00326711,-78.93772085,Samsung,-123
C,36.00344863,-78.93762047,Samsung,-123
C,36.00357996,-78.93766715,Samsung,-125
C,36.00365989,-78.93775635,Samsung,-126
C,36.00353714,-78.93763971,Samsung,-127
C,36.00349524,-78.93762412,Samsung,-124
C,36.00359856,-78.93768228,Samsung,-126
C,36.00351712,-78.93763031,Samsung,-123
C,36.0034657,-78.93762722,Samsung,-126
C,36.00367175,-78.93778147,Samsung,-124
C,36.00367915,-78.93780827,Samsung,-125
C,36.0036377,-78.93771889,Samsung,-125
C,36.0035592,-78.93765257,Samsung,-124
F,36.00297698,-78.93726835,Samsung,-93
D,36.00307172,-78.93744816,Samsung,-136
F,36.00296746,-78.93724173,Samsung,-90
E,36.00307172,-78.93744816,Samsung,-116
F,36.0029948,-78.93731492,Samsung,-98
D,36.0027507,-78.93673771,Samsung,-132
E,36.00296746,-78.93724173,Samsung,-116
D,36.00313857,-78.93759875,Samsung,-134
F,36.00295546,-78.93721476,Samsung,-89
F,36.00307172,-78.93744816,Samsung,-97
F,36.00298388,-78.93729169,Samsung,-95
C,36.00332883,-78.9376265,Samsung,-125
E,36.00298388,-78.93729169,Samsung,-116
D,36.0029948,-78.93731492,Samsung,-127
F,36.00313857,-78.93759875,Samsung,-100
C,36.00314051,-78.93771124,Samsung,-126
C,36.00320579,-78.93779049,Samsung,-130
E,36.00297698,-78.93726835,Samsung,-116
D,36.00297698,-78.93726835,Samsung,-127
