centroid_lon,centroid_lat,height,base_height,height_above_ground
-74.00117948580576,40.71510227411421,30.5,0.0,30.5
-74.00084746633252,40.71593863550861,14.0,0.0,14.0
-74.00699732534503,40.71708111680488,81.8,0.0,81.8
-74.00155444426115,40.714289109920415,44.0,0.0,44.0
-74.00233347407006,40.71366766768421,20.0,0.0,20.0
-74.00423774839439,40.71358122348035,47.8,0.0,47.8
-74.00364981990758,40.71297085324409,180.0,0.0,180.0
-74.0041900193792,40.71545574177172,14.0,0.0,14.0
-74.00005174903652,40.71384846794548,70.0,0.0,70.0
-74.00507703443655,40.713968430977715,68.0,0.0,68.0
-74.00209440478281,40.7171798102171,78.5,0.0,78.5
-74.00344361826967,40.716910301638855,50.8,0.0,50.8
-74.00338729688646,40.71697731674358,28.8,0.0,28.8
-74.0040681677857,40.71740599540492,21.4,0.0,21.4
-74.00301408239301,40.71747884057497,25.4,0.0,25.4
-74.0029651967404,40.71753725975078,25.6,0.0,25.6
-74.00291484546963,40.717597232149295,21.6,0.0,21.6
-74.00286133849355,40.717702447425545,82.8,0.0,82.8
-74.00249790872272,40.71714401859131,61.4,0.0,61.4
-74.00266329609033,40.71726294679464,25.8,0.0,25.8
-74.00436409025721,40.71763182095914,23.7,0.0,23.7
-74.00526329952255,40.7176756991789,24.1,0.0,24.1
-74.0051874907613,40.717641231740906,24.1,0.0,24.1
-74.00446746894299,40.71768590871469,12.7,0.0,12.7
-74.00507251620384,40.71758900808078,25.5,0.0,25.5
-74.004531136596,40.71771137634039,18.1,0.0,18.1
-74.00250327595671,40.7175141292101,26.0,0.0,26.0
-74.00238932426606,40.71745912136966,26.5,0.0,26.5
-74.00459146054207,40.717736125230275,14.7,0.0,14.7
-74.00471650327265,40.717760096621326,23.2,0.0,23.2
-74.00221987698978,40.717396785690845,19.7,0.0,19.7
-74.00477933283749,40.717475731366626,23.7,0.0,23.7
-74.00483000101195,40.717811699762635,10.8,0.0,10.8
-74.00469601548956,40.71745397976266,27.0,0.0,27.0
-74.00459049527835,40.71740053062915,23.8,0.0,23.8
-74.00182913029462,40.71770002258102,19.4,0.0,19.4
-74.00173951408239,40.71763834476609,11.0,0.0,11.0
-74.00273840243256,40.716649099383844,14.0,0.0,14.0
